ft,t
kt,t
lt,n
ld,n, ɒ, dɒ
lk,n
lp,n, pɒ
lb,n
lf,n
lv,n
lch,n
lj,n
lm,n
ls,n
mp,n
mf,n
nt,n
nd,n
nch,n
nj,n
ns,n
nz,n
ŋk,n
ŋg,n
ps,n
pt,n
mpt,n
sk,t
sp,t
st,t
θ,t
ts,t
ks,t
bz,t
dz,t,dɒ
gz,t
fs,t
θs,t
vz,t
ðz,t
mz,n
lz,n
ŋz,n
sht,t
cht,t
bd,t, dɒ
gd,t, dɒ
vd,t, dɒ
ðd,t, dɒ
zd,t, dɒ
jd,t, dɒ
zhd,t, dɒ
md,n
ŋd,n
lkt,n
lpt,n
lvd,n
mft,n
ncht,n
lcht,n
njd,n, dɒ
ljd,n, dɒ
rd,t, dɒ
rt,t
rk,t
rb,t
rp,t
rs,t
rz,t
rθ,t
rl,n
rm,n
rn,n
rld,n, dɒ
rmd,n, dɒ
rnd,n, dɒ
rkt,t
rst,t
b,t
d,t, dɒ
f,t
g,t
h,t
j,t
k,t
l,ɒ,n
m,n
n,n
ŋ,n
p,t
r,-
s,t, sɒ
ʃ,t, sɒ
t,t
tʃ,t,t sɒ
ð,t
v,t, vɒ
w,t
z,-, rɒ
ʒ,t
dʒ,t,t rɒ
∫,t, sɒ
ð,θ
η,n
ι,n
ηk,n
ηg,n
ηd,n, dɒ
ηt,n
ηθ,n
ηs,n
ηz,n,n rɒ
ηʃ,n,n sɒ
ηdʒ,n,n rɒ
ηtʃ,n,n sɒ
ηʒ,n
ηθs,n
ηzθ,n
ηzʃ,n,n sɒ
ηzʒ,n,n rɒ
ηθz,n,n rɒ
ηθʃ,n,n sɒ
ηθdʒ,n,n rɒ
ηθtʃ,n,n tʃɒ
ηθʒ,n
ηθθ,n
ηθd,n, dɒ
ηθt,n
ηθn,n
ηθl,n
ηθr,n
ηθm,n
ηθw,n
ηθj,n
ηθv,n
ηθf,n
ηθp,n
ηθb,n
ηθz,n,n rɒ
ηθs,n,n sɒ
ηθʃ,n,n sɒ
ηθʒ,n,n rɒ
t∫,t,t tʃɒ
