しゃい,sai,xây,say,xoáy,sấy,xay,,,,,
ちゃん,chán,tràn,chân,choáng,chặn,trấn,chạn,,,,
きゃん,kem,kèm,kém,kênh,kèn,kén,cần,căng,,,
かうん,cào,cao,cáu,cáo,quạo,cạo,,,,,
きゃっ,cặp,cắt,cát,cất,cách,cá,cấm,,,,
きゃ,kẻ,kê,kể,kẹt,kẹp,kết,ké,,,,
きゅ,cứu,cừu,kiêu,kiểu,kêu,cứ,cử,,,,
きょ,kiêu,kiểu,kẹo,có,cọ,cố,kéo,,,,
しゅ,siêu,xíu,sượt,xúc,sút,xu,xuyên,,,,
ちゃ,cha,trả,trà,chặt,chán,chải,trai,chăn,,,
ちゅ,chú,chút,chụp,chúc,trêu,chiều,chiếu,,,,
ちょ,cho,chó,trọ,chỗ,chở,chốt,trót,chợt,,,
にゅ,liễu,liều,nếu,nêu,lưu,lũ,lú,nữ,,,
にょ,liệu,liều,liễu,lo,nó,luộc,lượt,leo,,,
ひゅ,hươu,hiểu,,,,,,,,,
ひょ,hiểu,hẹo,héo,hộ,hô,họp,hớp,họ,,,
みゃ,mía,mẹ,ma,mé,,,,,,,
みゅ,mưu,miếu,miu,,,,,,,,
みょ,miếu,mèo,méo,mộ,mổ,mẹo,một,móc,mò,,
りょ,rượu,diều,do,reo,dẻo,rổ,,,,,
ふぉ,phở,phố,phô,phóng,phồng,phốt,phổi,phòi,,,
ぎゅ,gu,gù,gụ,ghi,ghì,gừ,,,,,
ぎょ,ghẹo,gõ,gỗ,gò,gỡ,gờ,gọt,góp,gộp,gọi,
じゅ,dìu,giữ,giữa,rũ,rút,rượu,rìu,,,,
びゃ,bia,bịa,bà,bẻ,bè,bê,bạn,bèn,biến,,
びゅ,biếu,bêu,bướu,,,,,,,,
びょ,biếu,béo,beo,bố,bổ,buộc,bồ,bơ,,,
ます,má sửa,mất xừ,mất sữa,má xuống,mang xuống,may sửa,maý xúc, mặt sưng, ma sư,,
えん,em,yên,êm,én,,,,,,,
けん,kiếm,kiện,kèm,kém,kiêm,kiến,kèn,,,,
せん,sen,xén,xem,xiên,xuyên,,,,,,
てん,tiền,tiến,tiem,them,thẹn,,,,,,
ねん,lén,lên,lẻn,ném,liếm,liền,,,,,
へん,hiến,hiện,hiếm,hèn,hẻm,hến,,,,,
めん,mến,mềm,miễn,miệng,mệnh,,,,,,
げん,ghen,quen,ghép,ghế,,,,,,,
ぜん,rèn,rên,diễn,rèm,diêm,riêng,giềng,,,,
でん,đen,đem,điên,đếm,đêm,đền,,,,,
べん,bên,bện,bèn,bến,biến,biển,bênh,bệnh,,,
ひん,hình,huynh,hiến,hiện,hiếm,,,,,,
じん,dìm,rình,rinh,dính,riêng,gym,,,,,
ひき,hủy ký,hủy kịp,hít kỹ,hít kịp,hít kim,Huy ký,Huy kịp,Huy kỳ,,,
くん,cúng,cúm,cưng,cứng,cuốn,cuộn,cún,cùn,,,
こん,con,còn,cơm,cuốn,cuộn,cong,cổng,,,,
ふん,hun,hứng,phun,,,,,,,,
いん,in,im,yên,yến,,,,,,,
うん,ùn,uống,ưng,uổng,úng,ươn,,,,,
おん,ồn,ổn,ớn,ông,ống,,,,,,
ぎん,ghim,ghì,ghi,,,,,,,,
